dir,gap_abs,band,pos_band,breakout,mom20,tradeable_dn,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmax3,fmax5,fmax10,fmax20,fmax60,fclose_max3,fclose_max5,fclose_max10,fclose_max20,fclose_max60
down,0.013559322033898202,1-2%,<=-10%,False,-0.10170523751522542,True,-0.024742268041237248,-0.04123711340206193,-0.0068728522336770626,-0.1491408934707904,-0.02941176470588236,-0.04582763337893292,-0.011627906976744207,-0.15321477428180563,15.07,15.07,15.07,15.11,15.27,15.02,15.02,15.02,15.02,15.02
down,0.010585744530698715,1-2%,-10~0,False,-0.05280748663101609,True,0.007132667617689048,0.024964336661911446,0.06348074179743235,-0.10984308131241083,-0.0028248587570621764,0.01483050847457612,0.052966101694915224,-0.11864406779661019,14.46,14.46,15.11,15.27,15.27,14.35,14.35,14.74,14.98,14.98
down,0.014378145219266614,1-2%,-10~0,False,-0.04791238877481174,True,0.04814004376367609,0.06710430342815465,0.05178701677607589,-0.08825674690007301,0.01770538243626052,0.036118980169971726,0.021246458923512845,-0.11473087818696881,15.11,15.11,15.11,15.27,15.27,14.74,14.74,14.74,14.98,14.98
down,0.019327129563350143,1-2%,-10~0,False,-0.05223880597014918,True,-0.05036496350364961,-0.059854014598540006,-0.0985401459854014,-0.15839416058394162,-0.026925953627524257,-0.036649214659685736,-0.07629020194465219,-0.137621540762902,13.56,13.56,13.56,13.56,13.56,13.42,13.42,13.42,13.42,13.42
down,0.01610305958132041,1-2%,<=-10%,False,-0.1686746987951807,True,-0.008183306055646544,-0.0073649754500818565,0.02127659574468077,-0.13011456628477902,-0.011419249592169667,-0.010603588907014627,0.01794453507340954,-0.13295269168026091,12.33,12.36,12.41,12.75,13.1,12.31,12.31,12.38,12.62,13.0
down,0.015444015444015413,1-2%,0~+10%,False,0.06936416184971095,True,-0.02509803921568632,-0.05019607843137264,-0.11450980392156873,0.03764705882352937,-0.023566378633150142,-0.04870384917517678,-0.11311861743912033,0.03927729772191668,13.1,13.1,13.1,13.1,13.75,13.0,13.0,13.0,13.0,13.7
down,0.010577705451586539,1-2%,-10~0,False,-0.02614896988906501,True,-0.056743421052631526,-0.05592105263157887,-0.14967105263157898,0.0501644736842104,-0.044166666666666576,-0.043333333333333335,-0.1383333333333333,0.0641666666666667,12.28,12.28,12.28,12.28,13.75,12.15,12.15,12.15,12.15,13.7
down,0.011824324324324342,1-2%,-10~0,False,-0.061062648691514676,True,-0.018803418803418737,-0.09230769230769231,-0.07008547008546995,0.17692307692307696,0.0008718395815170421,-0.07410636442894525,-0.05143853530950304,0.20052310374891014,11.62,11.63,11.64,11.64,13.85,11.6,11.6,11.6,11.6,13.77
down,0.022185702547247277,2-3%,>+10%,False,0.16794625719769685,True,0.13697478991596634,0.10168067226890742,0.07310924369747895,0.1579831932773108,0.1456392887383573,0.1100762066045724,0.08128704487722271,0.16680779000846724,13.66,13.66,13.75,13.75,15.74,13.1,13.53,13.7,13.7,15.15
down,0.014042867701404282,1-2%,>+10%,False,0.2435661764705881,True,-0.007496251874062887,-0.04347826086956519,0.07346326836581718,0.014242878560719596,-0.014147431124348464,-0.04988830975428149,0.0662695457930007,0.007446016381235987,13.75,13.75,13.75,14.42,15.74,13.7,13.7,13.7,14.32,15.15
down,0.010273972602739767,1-2%,>+10%,False,0.11111111111111094,True,-0.03252595155709337,-0.07058823529411762,-0.01107266435986165,-0.11903114186851205,-0.023743016759776525,-0.06215083798882681,-0.0020949720670392358,-0.11103351955307261,14.32,14.32,14.32,14.44,14.44,14.21,14.21,14.21,14.29,14.29
down,0.015363128491620137,1-2%,0~+10%,False,0.0990023023791251,True,-0.019858156028368712,0.0035460992907800915,-0.01773049645390068,-0.08439716312056733,-0.01285714285714279,0.010714285714285676,-0.010714285714285787,-0.07785714285714285,14.32,14.32,14.32,14.44,14.44,14.21,14.21,14.21,14.29,14.29
down,0.015151515151515138,1-2%,-10~0,False,-0.06581740976645445,True,-0.019230769230769273,-0.013846153846153841,-0.024615384615384595,-0.06769230769230772,-0.029680365296803735,-0.0243531202435312,-0.03500761035007616,-0.07762557077625576,13.29,13.29,13.29,13.29,13.6,13.05,13.05,13.05,13.05,13.32
down,0.01226053639846747,1-2%,-10~0,False,-0.0453547915142648,True,0.0007757951900697613,-0.01629169899146632,-0.015515903801396558,-0.11016291698991465,0.006240249609984483,-0.01092043681747279,-0.010140405616224757,-0.10530421216848673,13.04,13.04,13.04,13.04,13.6,12.75,12.9,12.9,12.9,13.32
down,0.01195219123505975,1-2%,-10~0,False,-0.010252365930599305,True,0.03629032258064502,0.007258064516129092,-0.06532258064516128,-0.006451612903225823,0.00942655145325988,-0.01885310290652009,-0.08955223880597019,-0.03220738413197177,13.6,13.6,13.6,13.6,13.6,13.32,13.32,13.32,13.32,13.32
down,0.010933557611438216,1-2%,0~+10%,False,0.03752181500872598,True,-0.03741496598639449,-0.020408163265306145,-0.0357142857142857,-0.1267006802721089,-0.02999143101970858,-0.01285347043701801,-0.028277634961439646,-0.11996572407883466,11.85,11.85,11.93,11.93,11.93,11.73,11.73,11.73,11.73,11.73
down,0.01388888888888895,1-2%,>+10%,True,0.15631691648822277,True,-0.005633802816901401,-0.025352112676056304,-0.016901408450704203,0.07042253521126751,-0.028440366972477094,-0.047706422018348627,-0.03944954128440359,0.04587155963302747,11.24,11.24,11.24,11.24,11.74,10.85,10.85,10.85,10.85,11.56
down,0.01940993788819878,1-2%,>+10%,False,0.26771653543307083,True,-0.04513064133016631,-0.06096595407759309,-0.08551068883610446,-0.09501187648456066,0.03253424657534243,0.015410958904109595,-0.011130136986301276,-0.021404109589041043,12.26,12.26,12.26,12.26,12.26,12.02,12.06,12.06,12.06,12.06
down,0.028404344193817876,2-3%,0~+10%,False,0.036363636363636376,True,-0.021496130696474602,-0.03181427343078258,-0.05846947549441117,0.013757523645743674,-0.01043478260869557,-0.02086956521739136,-0.047826086956521796,0.025217391304347858,11.61,11.61,11.61,11.61,11.93,11.52,11.52,11.52,11.52,11.85
down,0.029982363315696592,2-3%,-10~0,False,-0.024935511607910632,True,-0.006363636363636349,0.0018181818181817189,0.0072727272727273196,0.1454545454545455,0.021495327102803774,0.029906542056074903,0.03551401869158877,0.17757009345794406,10.93,11.04,11.19,11.19,12.72,10.9,10.93,11.18,11.18,12.6
down,0.01610017889087656,1-2%,-10~0,False,-0.026979982593559715,True,0.0,0.0072727272727273196,0.050000000000000044,0.15454545454545454,-0.001814882032667886,0.005444646098003769,0.048094373865698925,0.15245009074410154,11.06,11.06,11.08,11.59,13.33,11.04,11.04,11.08,11.55,13.18
down,0.010452961672473893,1-2%,,False,,True,0.048591549295774694,0.10070422535211287,-0.011619718309859084,0.036267605633802935,0.07199424046076319,0.12526997840172793,0.010439164866810513,0.05939524838012944,29.5,30.35,31.26,32.35,34.6,28.79,29.78,31.26,31.28,33.5
down,0.011904761904761862,1-2%,,False,,True,-0.03993115318416529,0.03304647160068841,0.12530120481927698,-0.030292598967297746,-0.018994020400984857,0.05557509672880756,0.14984171649665834,-0.009145269081955565,28.65,28.65,30.13,34.6,34.6,28.34,28.34,30.01,33.5,33.5
down,0.010329890036654521,1-2%,0~+10%,False,0.0006668889629877217,True,0.11447811447811462,0.06195286195286198,0.05050505050505061,-0.09191919191919196,0.10924932975871315,0.05697050938337789,0.04557640750670244,-0.09617962466487939,30.58,34.08,34.6,34.6,34.6,30.01,33.1,33.5,33.5,33.5
down,0.012731130645650235,1-2%,0~+10%,False,0.09601328903654482,True,-0.0316241940435984,-0.03315934909425855,-0.05680073687442433,-0.1661037764814246,-0.04712990936555894,-0.04864048338368587,-0.07190332326283999,-0.1794561933534744,34.6,34.6,34.6,34.6,34.6,33.5,33.5,33.5,33.5,33.5
down,0.010494752623688153,1-2%,>+10%,False,0.13589918256130806,True,-0.06000000000000005,-0.00303030303030305,-0.04939393939393932,-0.19090909090909092,-0.06818864523881041,-0.011715229798738402,-0.05767497747071182,-0.19795734454791225,34.1,34.1,34.1,34.1,34.1,33.5,33.5,33.5,33.5,33.5
down,0.010213277260438414,1-2%,>+10%,False,0.1208754208754208,True,-0.06858877086494697,-0.0072837632776935335,-0.08952959028831575,-0.19271623672230653,-0.08388059701492534,-0.023582089552238727,-0.10447761194029848,-0.20597014925373125,34.1,34.1,34.1,34.1,34.1,32.69,32.69,32.9,32.9,32.9
down,0.01498929336188426,1-2%,>+10%,False,0.14984171649665834,True,-0.022049689440993947,-0.03105590062111807,-0.06832298136645976,-0.17173913043478262,-0.0015852885225111635,-0.010779961953075401,-0.04882688649334177,-0.1544071020925808,32.2,32.36,33.43,33.43,33.43,31.2,31.49,32.9,32.9,32.9
down,0.010897435897435859,1-2%,0~+10%,False,0.04557640750670244,True,0.004536616979909258,-0.046338302009073185,-0.06902138690861959,-0.21581335061568374,-0.019917799557382154,-0.06955422067657291,-0.09168510907366423,-0.23490357255769834,31.66,31.66,31.69,31.69,31.69,31.42,31.42,31.42,31.42,31.42
