dir,gap_abs,band,pos_band,breakout,mom20,tradeable_up,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmin3,fmin5,fmin10,fmin20,fmin60,fclose_min3,fclose_min5,fclose_min10,fclose_min20,fclose_min60
up,0.013260530421216776,1-2%,-10~0,False,-0.057352941176470495,True,-0.013086989992301734,-0.03541185527328716,-0.004618937644341847,-0.10623556581986149,0.005490196078431486,-0.017254901960784386,0.014117647058823568,-0.08941176470588241,12.5,12.5,12.41,12.3,11.39,12.57,12.57,12.53,12.48,11.47
up,0.01687388987566596,1-2%,0~+10%,False,0.007155635062611854,True,0.06200873362445414,0.05676855895196509,-0.006986899563318771,-0.09344978165938855,0.03754266211604085,0.03242320819112621,-0.02986348122866911,-0.11433447098976113,11.56,11.56,11.56,11.31,10.36,11.67,11.67,11.67,11.32,10.38
up,0.05431878895814779,5-9.4%,-10~0,False,-0.08401305057096242,True,-0.023648648648648574,-0.042229729729729715,-0.0523648648648648,-0.1596283783783784,0.003472222222222321,-0.015625,-0.02604166666666663,-0.1362847222222222,11.12,11.12,11.12,11.03,9.95,11.13,11.13,11.13,11.05,9.95
up,0.011839708561020013,1-2%,-10~0,False,-0.035996488147497785,True,-0.045904590459045935,-0.06300630063006296,-0.055805580558055734,-0.16561656165616556,-0.045904590459045935,-0.06300630063006296,-0.055805580558055734,-0.16561656165616556,10.95,10.59,10.3,10.3,8.99,11.0,10.6,10.38,10.38,9.03
up,0.03128054740957964,3-5%,0~+10%,False,0.06451612903225823,True,-0.018009478672985857,-0.0028436018957347375,-0.025592417061611528,-0.042654028436019065,-0.02264150943396226,-0.007547169811320753,-0.030188679245283012,-0.047169811320754707,10.37,10.31,10.31,10.04,9.99,10.4,10.36,10.36,10.06,10.06
up,0.0157553290083412,1-2%,0~+10%,False,0.025665399239543696,True,0.0009124087591241281,0.038321167883211604,0.0018248175182480342,-0.08029197080291972,0.007346189164370909,0.044995408631772316,0.008264462809917328,-0.07438016528925628,10.71,10.71,10.71,10.71,9.85,10.73,10.73,10.73,10.73,9.93
up,0.014464802314368308,1-2%,-10~0,False,-0.009551098376313405,True,0.11026615969581743,0.14638783269961997,0.07604562737642584,0.13307984790874539,0.11238095238095225,0.14857142857142858,0.07809523809523822,0.13523809523809516,10.5,10.5,10.5,10.5,10.5,11.15,11.15,11.15,11.15,11.15
up,0.017937219730941534,1-2%,0~+10%,True,0.06903163950143831,True,0.032599118942731264,0.06079295154185016,0.007048458149779835,0.04229074889867834,0.02626970227670755,0.05429071803852881,0.0008756567425569628,0.0359019264448337,11.56,11.56,11.56,11.24,11.14,11.68,11.68,11.68,11.32,11.18
up,0.017513134851138368,1-2%,>+10%,True,0.10551790900290414,True,0.034423407917383964,0.016351118760757455,-0.01376936316695343,0.02839931153184172,-0.015561015561015634,-0.03276003276003281,-0.061425061425061434,-0.02129402129402147,11.6,11.58,11.58,11.24,11.14,11.68,11.68,11.68,11.32,11.18
up,0.09991809991809975,>=9.4%,>+10%,True,0.20533070088845018,False,-0.11392405063291133,-0.12211466865227105,-0.1325390915860014,-0.12881608339538353,-0.07608695652173914,-0.08462732919254667,-0.09549689440993792,-0.09161490683229823,11.58,11.58,11.58,11.24,11.14,11.68,11.68,11.68,11.32,11.18
